,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist
0,HR 8799 d,HR 8799,Imaging,2008,13.0,3000.0,37000.0,24.0,,,1.5,,,0.69197,A5 V,41.2441
1,WASP-96 b,WASP-96,Transit,2014,13.45,152.55,3.4252602,0.0453,0.0,1285.0,1.06,1.05,5540.0,,G8,352.464
2,HD 114783 b,HD 114783,Radial Velocity,2001,,349.6,493.7,1.16,0.144,,0.853,,5135.0,,K0,21.0628
3,HAT-P-1 b,HAT-P-1,Transit,2006,14.784671,166.86075,4.46529976,0.05561,,1322.0,1.151,1.174,5980.0,,,158.979
4,HR 8799 b,HR 8799,Imaging,2008,13.0,2000.0,170000.0,68.0,,,1.5,,,0.69197,A5 V,41.2441
5,HD 12661 c,HD 12661,Radial Velocity,2002,,575.884,1708.0,2.8145,0.031,,1.02,1.11,5748.0,0.063,,37.8478
6,HD 27894 c,HD 27894,Radial Velocity,2017,,51.48846,36.07,0.198,0.015,,0.8,,,,K2 V,43.8214
7,WASP-17 b,WASP-17,Transit,2009,20.96083,247.9074,3.73543,,0.0,,2.28,1.49,6550.0,,,405.908
8,WASP-62 b,WASP-62,Transit,2012,14.79588,165.2716,4.41195,,0.0,,1.11,1.23,6230.0,,,175.631
9,KELT-7 b,KELT-7,Transit,2015,17.9344,441.7837,2.73477,,0.0,,1.76,1.81,6768.0,,,136.681
10,HD 12661 b,HD 12661,Radial Velocity,2000,,772.3269,262.70862,0.84,0.38,,1.2,1.2,5645.0,,,37.8478
11,HD 217107 b,HD 217107,Radial Velocity,1998,,413.179,7.12682,0.08,0.13,,1.0,1.11,5622.0,,,20.0619
12,HD 68988 b,HD 68988,Radial Velocity,2001,,626.1251,6.27711,0.07,0.12,,1.28,1.19,5932.0,,,60.8447
13,HD 24040 b,HD 24040,Radial Velocity,2006,,1226.8238,3668.0,4.92,0.04,,1.11,1.3,5802.0,,,46.6224
14,GJ 3470 b,GJ 3470,Radial Velocity,2012,4.57,13.9,3.3366496,0.0355,,593.5,0.539,0.547,3600.0,,,29.4214
15,HR 8799 e,HR 8799,Imaging,2010,13.11453,3178.3,,16.4,0.15,1150.0,,,7400.0,,A5,41.2441
16,WASP-39 b,WASP-39,Transit,2011,14.336311,89.31023,4.0552941,0.04828,,1166.0,0.913,0.939,5485.0,,,213.982
17,NGTS-10 b,NGTS-10,Transit,2020,13.506845,687.14846,0.7668944,0.0143,0.0,1332.0,0.696,0.697,4600.0,,K5 V,
18,K2-25 b,K2-25,Transit,2015,3.44,24.5,3.48456408,0.0287,0.428,494.0,0.2634,0.2932,3207.0,-2.08831,M4.5 V,44.9565
19,HD 156279 c,HD 156279,Radial Velocity,2018,,3098.82696825,4818.25358,5.486,0.261,,0.94,,,,,36.1945
20,HD 168443 b,HD 168443,Radial Velocity,1998,,2424.3950886,58.11187,0.292,0.53,,0.98,,,,,39.6245
21,HD 95338 b,HD 95338,Radial Velocity,2020,4.27174254,,55.082694,,,,0.848,0.868,5097.0,,,36.9941
22,HR 8799 c,HR 8799,Imaging,2008,13.0,3000.0,69000.0,38.0,,,1.5,,,0.69197,A5 V,41.2441
23,HD 24040 c,HD 24040,Radial Velocity,2021,,63.88350981,515.4,1.3,0.11,,1.10394,1.387296,5776.49,,,46.6224
24,HD 68988 c,HD 68988,Radial Velocity,2021,,4767.426105,16000.0,13.2,0.45,,1.171665,1.255733,5883.41,,,60.8447
25,HD 62364 c,HD 62364,Radial Velocity,2022,,7923.46218651,74839.94555,36.984,0.773,,1.19,,,,,53.112
26,HD 168443 c,HD 168443,Radial Velocity,2000,,5500.33841154,1753.1096,2.842,0.21,,0.98,,,,,39.6245
27,HD 168863 b,HD 168863,Radial Velocity,2022,,2154.87659946,14773.93272,10.961,0.187,,0.8,,,,,39.8979
28,HD 181234 b,HD 181234,Radial Velocity,2019,,2980.91262925,7593.40512,7.427,0.726,,0.94,,,,,47.7458
29,HD 183263 b,HD 183263,Radial Velocity,2004,,1103.1824007,624.87404,1.46,0.383,,1.06,,,,,54.1955
30,HD 183263 c,HD 183263,Radial Velocity,2008,,2958.98246917,4667.97841,5.585,0.051,,1.06,,,,,54.1955
31,HD 66428 b,HD 66428,Radial Velocity,2005,,3478.94974302,2269.81726,3.395,0.471,,1.01,,,,,53.2817
32,HD 3167 d,HD 3167,Radial Velocity,2017,,4.33,8.4112,0.0763,0.12,,0.837,0.88,5261.0,,,47.2899
33,HD 3167 e,HD 3167,Radial Velocity,2022,,8.41,96.63,0.3885,0.15,,0.837,0.88,5261.0,,,47.2899
34,HD 3167 b,HD 3167,Transit,2016,1.67,4.97,0.959641,0.01796,0.0,1774.0,0.837,0.88,5261.0,,,47.2899
35,HD 89839 b,HD 89839,Radial Velocity,2023,,1592.32031907,3441.0,4.761,0.187,,1.21,,6314.0,,F7 V,57.3063
36,BD-210397 b,BD-210397,Radial Velocity,2023,,214.0,1891.0,2.63,0.1,,0.679,0.747,4051.0,-0.86967,K7 V,23.7324
37,HD 108202 b,HD 108202,Radial Velocity,2023,,953.485221,2990.0,3.7,0.52,,0.74,,,,K4/5 V,38.6846
38,BD-210397 c,BD-210397,Radial Velocity,2023,,1525.5763536,6240.0,5.9,0.43,,0.69,,,,K7 V,23.7324
39,HD 16905 b,HD 16905,Radial Velocity,2022,,3591.4609991,10256.0,8.8,0.68,,0.85,,,,K3 V,39.7401
40,HD 114783 c,HD 114783,Radial Velocity,2018,,603.8739733,4352.0,5.0,0.05,,0.9,,,,K1 V,21.0628
41,GJ 832 b,GJ 832,Radial Velocity,2008,,314.65012293,3853.0,3.7,0.05,,0.45,,,,M2/3 V,4.96435
42,HIP 70849 b,HIP 70849,Radial Velocity,2009,,1430.2278315,3649.0,3.99,0.65,,0.65,,,,K7 V,24.0572
43,TOI-4201 b,TOI-4201,Transit,2023,13.67495645,788.21444936,3.5819194,0.04,0.041,725.0,0.61,0.63,3794.0,-1.11919,M1.0+/-0.5,189.011
44,HD 27894 b,HD 27894,Radial Velocity,2005,,196.73578393,18.01939,0.125,0.047,,0.81,,,,,43.8214
45,HD 27894 d,HD 27894,Radial Velocity,2017,,2063.65984665,5019.54244,5.362,0.343,,0.81,,,,,43.8214
46,HD 29985 b,HD 29985,Radial Velocity,2022,,1739.47487151,20608.14049,13.39,0.261,,0.75,,,,,31.2707
