Unnamed: 0,pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,st_spectype,sy_dist,pl_density,insolation,habitable_type,ESI,Bio_Class,v_esc,Atmosphere_Class,Adams_Score,Adams_Category,AstroBiom_Score,cluster_id,Planet_Type_ML
1,WASP-96 b,WASP-96,Transit,2014,13.45,152.55,3.4252602,0.0453,0.0,1285.0,1.06,1.05,5540.0,-0.0306924929791174,G8,352.464,0.0626967976393042,454.05776071158914,Too Hot (Hot Zone),0.0494602989675483,Extreme Environment,37.67209553689924,Atmosphere Likely,0.0,Not Habitable,0.4946029896754833,0.0,Gas Giant (Jovian)
3,HAT-P-1 b,HAT-P-1,Transit,2006,14.784671,166.86075,4.46529976,0.05561,,1322.0,1.151,1.174,5980.0,0.1990307797441221,,158.979,0.0516320296161236,511.35792332690687,Too Hot (Hot Zone),0.0436245632888167,Extreme Environment,37.57907434655048,Atmosphere Likely,0.0,Not Habitable,0.4362456328881676,0.0,Gas Giant (Jovian)
7,WASP-17 b,WASP-17,Transit,2009,20.96083,247.9074,3.73543,0.0620123992098569,0.0,1548.205557683419,2.28,1.49,6550.0,0.5642275867589679,,405.908,0.0269193186588766,953.389837676444,Too Hot (Hot Zone),0.0256497754787468,Extreme Environment,38.469392000050306,Atmosphere Likely,0.0,Not Habitable,0.2564977547874689,0.0,Gas Giant (Jovian)
8,WASP-62 b,WASP-62,Transit,2012,14.79588,165.2716,4.41195,0.0545089602312435,0.0,1427.0530183769745,1.11,1.23,6230.0,0.3106522594827616,,175.631,0.0510241560845143,688.2028451994631,Too Hot (Hot Zone),0.0386249114915203,Extreme Environment,37.38552902937334,Atmosphere Likely,0.0,Not Habitable,0.3862491149152033,0.0,Gas Giant (Jovian)
9,KELT-7 b,KELT-7,Transit,2015,17.9344,441.7837,2.73477,0.0462087915416762,0.0,2042.5410193754449,1.76,1.81,6768.0,0.7900883998295247,,136.681,0.0765859550817541,2888.2792350371737,Too Hot (Hot Zone),0.0241759760206532,Extreme Environment,55.51830943896267,Atmosphere Likely,0.0,Not Habitable,0.2417597602065321,0.0,Gas Giant (Jovian)
14,GJ 3470 b,GJ 3470,Radial Velocity,2012,4.57,13.9,3.3366496,0.0355,,593.5,0.539,0.547,3600.0,-1.345925494296702,,29.4214,0.1456351475152553,35.778143333548336,Too Hot (Hot Zone),0.2288906090412872,Extreme Environment,19.508510651346455,Atmosphere Likely,0.0,Not Habitable,2.2889060904128717,1.0,Rocky / Super-Earth
16,WASP-39 b,WASP-39,Transit,2011,14.336311,89.31023,4.0552941,0.04828,,1166.0,0.913,0.939,5485.0,-0.1450724378575711,,213.982,0.03031021150384,307.18007301761065,Too Hot (Hot Zone),0.0441672397187083,Extreme Environment,27.91944057768482,Atmosphere Likely,0.0,Not Habitable,0.4416723971870835,0.0,Gas Giant (Jovian)
17,NGTS-10 b,NGTS-10,Transit,2020,13.506845,687.14846,0.7668944,0.0143,0.0,1332.0,0.696,0.697,4600.0,-0.7096132671103976,K5 V,,0.2788616734795579,954.3653387394188,Too Hot (Hot Zone),0.0745830890865609,Extreme Environment,79.78534837996206,Atmosphere Likely,0.0,Not Habitable,0.7458308908656096,0.0,Gas Giant (Jovian)
18,K2-25 b,K2-25,Transit,2015,3.44,24.5,3.48456408,0.0287,0.428,494.0,0.2634,0.2932,3207.0,-2.08831,M4.5 V,44.9565,0.6018534531550681,9.9066360125281,Too Hot (Hot Zone),0.4394921639995964,Extreme Environment,29.852357635459025,Atmosphere Likely,0.0,Not Habitable,4.394921639995965,1.0,Rocky / Super-Earth
21,HD 95338 b,HD 95338,Radial Velocity,2020,4.27174254,19.908862332872538,55.082694,0.2681731229356425,,442.1812534641288,0.848,0.868,5097.0,-0.3408121653248966,,36.9941,0.2554060817530177,6.343914712646549,Too Hot (Hot Zone),0.3882778564465342,Extreme Environment,24.148797064953225,Atmosphere Likely,0.0,Not Habitable,3.8827785644653416,1.0,Rocky / Super-Earth
34,HD 3167 b,HD 3167,Transit,2016,1.67,4.97,0.959641,0.01796,0.0,1774.0,0.837,0.88,5261.0,-0.2738715985437389,,47.2899,1.0671045588553254,1650.120792869733,Too Hot (Hot Zone),0.08726810840992,Extreme Environment,19.29722114151235,Atmosphere Risk (Erosion),0.0,Not Habitable,0.8726810840992006,1.0,Rocky / Super-Earth
43,TOI-4201 b,TOI-4201,Transit,2023,13.67495645,788.21444936,3.5819194,0.04,0.041,725.0,0.61,0.63,3794.0,-1.11919,M1.0+/-0.5,189.011,0.308224059588606,47.499607103845435,Too Hot (Hot Zone),0.1832081643153784,Extreme Environment,84.92470266694306,Atmosphere Likely,0.0,Not Habitable,1.8320816431537843,0.0,Gas Giant (Jovian)
47,K2-222 b,K2-222,Transit,2018,2.35,8.7,15.38857,0.1206,0.16,871.0,0.989,1.115,5942.0,0.1431701746062273,,101.321,0.6703716902805735,95.60388900396656,Too Hot (Hot Zone),0.2283377690890196,Extreme Environment,21.522886237677323,Atmosphere Likely,0.0,Not Habitable,2.2833776908901964,1.0,Rocky / Super-Earth
